,Price,Description,Skills,Bids,Verified,Days
10,"$50
                                (Avg Bid)","Project Description: Modern Logo Design for Mammoth Factory Corp


I am looking for a talented designer to create a modern logo for my brand. The ideal candidate should have experience in creating minimalistic and sleek designs that combine both text and symbol elements. 

Mammoth Factory Corp


Style: 
- The desired style for the logo is minimalistic, with clean and simple lines. 
- The logo should have a modern and contemporary feel.

Color:
- I am open to suggestions for the color palette. 
- The designer should have a good sense of color combinations and be able to provide recommendations based on the logo concept.

Type of Logo:
- The logo should be a combination of text and symbol. 
- The text should be clear and legible, while the symbol should be unique and representative of the br...","3D Design
Graphic Design
Illustrator
Logo Design
Photoshop",6 entries,VERIFIED,3 days left
11,"$322
                                (Avg Bid)","I am looking for a freelancer to assist me with marketing my crypto projects on Discord and other channels. The ideal candidate should have experience in implementing various marketing strategies, including social media marketing, influencer marketing, and other marketing tactics

Target Audience: I have a specific demographic in mind for my project. Those related to crypto

Timeline: I need this project to be completed as soon as possible.","Facebook Marketing
Internet Marketing
Marketing
Social Media Marketing
Twitter",8 bids,VERIFIED,6 days left
12,"$2 / hr
                                (Avg Bid)","Techno Verse is a project that requires creating content related to current trends, breakthroughs, and products in the technology space. The client is open to suggestions for topics and keywords. The specific content format needed is not specified. 

Ideal skills and experience for this project include: 
- Strong knowledge and understanding of the technology industry 
- Excellent research and writing skills 
- Ability to propose interesting and engaging topics 
- Familiarity with various content formats such as blog posts, video tutorials, and infographics","Article Writing
Book Writing
Copywriting
Creative Writing
Ghostwriting",2 bids,VERIFIED,6 days left
13,"$331
                                (Avg Bid)","LOOKING FOR TELECALLER/SALES AGENT(USA SHIFT)

I am in need of a telecaller/sales agent who will be responsible for selling digital products. 
PAYMENT will be done on monthly basis fixed payout 5 days/week 8 hours shift

Requirements:
- Experience in sales, preferably in selling digital products
- Excellent communication skills, particularly over the phone
- Strong persuasion and negotiation skills
- Ability to meet sales quotas and targets
- Familiarity with sales techniques and strategies

Payment Structure:
- The telecaller/sales agent will be paid a flat fee for their services. 

If you have the necessary skills and experience, and are available to work during USA shift timings, please apply for this project.","Marketing
Sales
Telemarketing
Telephone Handling",3 bids,VERIFIED,6 days left
14,"$464
                                (Avg Bid)","I am seeking a freelancer to help me with a post fire home rebuild project. This project includes House plans and possible blueprints for rebuilding my personal home on a 24' depth x 48-50' width homesite that is a hillside residence that includes an open ranch style concept with an emphasis of the eastern facing views looking into the valley. This home is being built on a deep crawl space. 3 bedrooms, 2 bathrooms, Kitchen with Island, Dining, Laundry, Pantry, Living Room with a 2 car garage of 24' depth x 24-22' width.  The scope requires assistance with design elements. The successful candidate should have extensive experience in architecture/construction and the ability to create accurate plans that meet my expectations. I am looking forward to working with a freelan...","Building Architecture
Floorplan Blueprinting
Home Design",10 bids,VERIFIED,6 days left
15,"$289
                                (Avg Bid)","Sharetribe Flexi upgrade:   Looking for a very experienced company that knows Sharetribe flexi very well and can upgrade a development site to the New Sharetribe Flexi. If you don't have the experience DON'T waste our time.    
 
This requires transfer to new site, complete, test, document.","PHP
Stripe
WordPress",21 bids,VERIFIED,6 days left
16,"$1883
                                (Avg Bid)","Project Description

I am looking for a talented animator to create a 60-minute 3D cartoon movie for kids aged 4-7 years. 

Animation Style: 
- The animation style should be 3D.

Script: 
- I do not have a script and I need help creating one.

Ideal Skills and Experience: 
- Experience in 3D animation
- Creativity in storytelling and scriptwriting for children
- Ability to create engaging and age-appropriate content for kids aged 4-7 years.","3D Animation
After Effects
Animation
Caricature & Cartoons
Illustration",25 bids,VERIFIED,6 days left
17,"$30
                                (Avg Bid)","Logo Light House Beer - Vintage Style Logo Design

We are looking for a talented designer to create a vintage style logo for our brand, Light House Beer. The logo should capture the essence of a traditional, classic beer brand.

Specific Colors:
- The client has specified that they have specific colors in mind for the logo design. 

Text and Illustration:
- The client has requested that the logo include both text and illustration elements.

Skills and Experience:
- Proficiency in creating vintage style logos
- Strong understanding of color and its impact on branding
- Experience in incorporating text and illustration elements seamlessly in a design
- Ability to capture the essence of a traditional beer brand

Please include examples of your previous logo designs in a similar style in your ...","Illustration
Illustrator
Logo Design",33 bids,VERIFIED,6 days left
18,"$6 / hr
                                (Avg Bid)","Node js registration error fix

I am experiencing wrong password error during the registration process whereby page picks wrong password thane entered and need assistance to fix it. I have not been able to troubleshoot this issue myself.

Server Environment:
- localhost

Ideal Skills and Experience:
- Strong proficiency in Node.js
- Experience with server-side programming
- Familiarity with database systems and query languages
- Knowledge of web development frameworks such as 
- Problem-solving skills to identify and resolve registration errors","JavaScript
Node.js
NoSQL Couch & Mongo",14 bids,VERIFIED,6 days left
19,"$3 / hr
                                (Avg Bid)","Project Title: Whatsapp Promotion Manual Task

Tasks:
- Sending messages to contacts

Messaging Methods:
- No, just the manual task

Existing Contacts:
- Yes

Description:
I am looking for assistance with a Whatsapp promotion manual task. The specific task involves sending messages to my existing contacts. I do not need help with any other messaging methods, as the task will be done manually. I already have a list of contacts to target for the promotion. 

Ideal Skills and Experience:
- Proficiency in using Whatsapp
- Excellent communication and writing skills
- Attention to detail
- Familiarity with promotional messaging strategies
- Ability to follow instructions accurately and efficiently","Data Entry
Word",13 bids,VERIFIED,6 days left
20,"$1973
                                (Avg Bid)","A Dating app similar to Tinder but a much more lighter version where the users can be onboarded in less than 2 minutes with minimum information. The app will be more focused on hookups unlike Tinder. The app feature regular chat, call and video call features too just like Tinder. The app will be required in Android as well as IOS","Android
iPhone
Mobile App Development",5 bids,VERIFIED,6 days left
21,"$28
                                (Avg Bid)","I am looking for a skilled developer who can make specific changes to the flyout menu in Divi. The menu is located at  If you click the far right hamburger menu you'll see the flyout menu that pops open with a form. I need to know how to edit that area. 

Requirements:
- Add/remove menu items
- Implement a dark theme for the visual styling of the flyout menu
- Incorporate additional features such as contact forms

Skills and experience required:
- Proficiency in Divi theme customization and development
- Strong knowledge of CSS and HTML
- Experience in implementing and customizing flyout menus
- Ability to incorporate additional features like contact forms

If you have the necessary skills and experience, please submit your proposal.","CSS
HTML
JavaScript
PHP
WordPress",21 bids,VERIFIED,6 days left
22,"$267
                                (Avg Bid)","We are looking for a software development company to partner with our brand FREEDOCTOR. We require a range of software development services, including web development, mobile app development, and custom software development. 

The ideal partner should have experience in integrating and improving existing software or systems. 

We have a dedicated team of 3-5 people who will be working on this project. 
we are creating a new category in market in healthcare sector 
need very strong development team 

www,


Skills and experience required for this job include: 

- Web development
- Mobile app development
- Custom software development
- Integration and improvement of existing software or systems","Flutter
Laravel
Mobile App Development
PHP",4 bids,VERIFIED,6 days left
23,"$87
                                (Avg Bid)","Project Title: SEO Optimization for WordPress Website

Overview:
I am seeking a skilled and experienced freelancer to optimize my WordPress website for SEO. The main goal is to improve the website's visibility and search engine rankings. 

Specific Areas of Optimization:
- SEO: The primary focus of this project is to improve the website's search engine optimization. This includes optimizing meta tags, improving keyword usage, enhancing site structure, and implementing on-page SEO techniques. 

Budget:
At this time, I am not sure about the budget for this optimization project. I am open to discussing the cost with interested freelancers and determining a fair price based on the scope of work and expected results. 

Optimization Time-frame:
I would prefer to complete the optimizati...","Internet Marketing
Link Building
Marketing
SEO
WordPress",34 bids,VERIFIED,6 days left
24,"$593
                                (Avg Bid)","Hello,

We are excited to announce an opportunity to join our team as a skilled marketer for our newly launched “Shuffler” audio-video social app. Our Shuffler app is designed to provide a platform for dancers and content creators to showcase their talent, connect with fellow enthusiasts, and reach a wide audience.

Here is direct link for our android app:


We are seeking a talented and experienced app marketer who can help us drive user acquisition, increase engagement, and establish our app as a go-to destination for dancers and creators. As a marketer, your responsibilities will include:

- Developing and implementing effective marketing strategies to promote our app
- Identifying and targeting our key audience of dancers, performers, and creative individuals
- Creating com...","Advertising
Influencer Marketing
Internet Marketing
Marketing
Social Media Marketing",11 bids,VERIFIED,6 days left
25,"$89
                                (Avg Bid)","Change price on the calculator and connect to currencies

in the map  when you  make an order   if you log off and come back to block research page cant reserve to lose the first reservation 

Give an option to make another reservations.


Update app version to 4.1  or
 4.2 at least

Check email for support page for client  if working if not to fix 

Add tick button  for driver and client same pls near sign up button

Add asterisks near download pictures  in driver part  

Show downlowded picture with zoom pictures option


Showing Driver stars in client page as already showed in driver page

Connect stripe for payment
And connect it betwen driver and admin to approved driver  payment only can get reservations and work

Show booking for clients in client booking page

Google map distance i...","Android
HTML
JavaScript
Mobile App Development
PHP",19 bids,VERIFIED,6 days left
26,"$195
                                (Avg Bid)","We need a Freelancer for Ebook Sales at Hotmart

We are looking for qualified freelancers in sales, promotion and marketing to promote and sell our Ebook on Hotmart.

  We need professionals with proven experience in selling digital products, skills in digital marketing and the ability to create effective outreach strategies.

  We expect concrete results, good communication and autonomy to implement and monitor sales strategies. If you are a talented freelancer with a passion for sales and digital marketing, then contact us.","Facebook Marketing
Internet Marketing
Marketing
Sales
Social Media Marketing",2 bids,VERIFIED,6 days left
27,$168 - $504,"Videographer/Content Creator wanted to shoot authentic polished content of a Just Cuts Stylist ‘Day in the Life’ at Macarthur Square in Campbelltown. We would need vertical video footage for Instagram reels and regular HD. We also need audio recording of the Stylist doing a voice over. We imagine we will need roughly 2 hours to capture content. We need to capture this content on a date between mid July to mid August. Happy to be flexible and work with both the videographer and Stylist to find a day/time that suits. Please note, editing of videos will need to be included in bid price.","After Effects
Video Editing
Video Production
Video Services
Videography",0 bids,VERIFIED,6 days left
28,"$38
                                (Avg Bid)","Logo name 

PROBL3MATIKA

cartoon version of me with a headset on

Gamer/streamer
Pink girly style Sanrio","Book Artist
Caricature & Cartoons
Illustration
Illustrator
Procreate",33 bids,VERIFIED,6 days left
29,"$35 / hr
                                (Avg Bid)","Web Developer Needed to Fix Site Loading Issue on WordPress Website

Project Overview:
- I am currently experiencing issues with my WordPress website not loading properly
- The site takes a long time to load and sometimes doesn't load at all
- I need a skilled web developer to diagnose and fix the loading issue

Skills and Experience Required:
- Strong proficiency in WordPress development
- Extensive experience in troubleshooting and resolving website loading issues
- Knowledge of website optimization techniques to improve loading speed
- Familiarity with debugging tools and techniques for identifying and fixing broken links
- Ability to address design and layout issues that may be impacting loading speed

Budget:
- The estimated budget for this project is less than $500

If you have ...","CSS
HTML
PHP
Website Design
WordPress",61 bids,VERIFIED,6 days left
30,"$647
                                (Avg Bid)","As a family, we are seeking a professional writer to create a memoir, spanning 100-200 pages with neutral language. Our goal is to have this project be completed in a timeframe of 6-12 months. We understand this venture requires an investment of time, however, the resulting work should be thoughtful and reflective of our family history. We look forward to beginning this journey with you.","Graphic Design
Investigative Journalism",9 bids,VERIFIED,6 days left
31,"$65
                                (Avg Bid)","I’m looking for a barber shop logo with gold icon and black background I’m looking for modern style and eye catching logo, business card and flyers","Business Cards
Corporate Identity
Graphic Design
Logo Design
Photoshop",63 bids,VERIFIED,6 days left
32,"$39
                                (Avg Bid)","Hello! I am looking for a talented and experienced web developer to help build a custom e-commerce website for my business. I already have domain name and hosting in place. This website will need beautiful graphics and engaging content to help market my products. If you have previously created e-commerce websites, I’d love to hear from you. Some of the things required are:
1. Planning & creation of content for the website. Planning the website pages
2. Searching royalty free images over internet
3. Creation of website on wordpress with all google adwords covered, SEO content etc.
4. Delivering working website with all plugins, bookings etc pages created
5. This will be a very basic website just to land visitors from social media pages and complete their bookings. With time, it wi...","Graphic Design
HTML
PHP
Website Design
WordPress",3 bids,VERIFIED,6 days left
33,"$6 / hr
                                (Avg Bid)","I am looking for a freelancer who can help me with webscraping a website. Here are the project requirements:

Data to scrape: 
- Specifically, I need to scrape tables from the website.

Data format: 
- I would like the extracted data to be in a specific format. 

Extraction frequency: 
- The extraction should take place every 30 seconds for 24 hours.

Ideal skills and experience for the job: 
- Proficiency in webscraping and data extraction.
- Knowledge of working with tables in a specific format.
- Experience in setting up automated scraping processes.
- Attention to detail to ensure accurate and reliable data extraction.

If you have the necessary skills and experience for this project, please bid and provide examples of similar projects you have completed.","Data Entry
Data Mining
Excel
PHP
Web Scraping",20 bids,VERIFIED,6 days left
34,"$21 / hr
                                (Avg Bid)","0-300 USD

Open
Paid on delivery
•
Ends in 6 days
We are seeking Content Writers who have experience in copy editing/proofreading/CRO content for websites IN ENGLISH.

The copywriter must have sufficient time to dedicate to this project.

In the first phase we should draft 10-15 landing pages. The raw content exists already.

Please inform us of your availability. We are interested to know a timeline for each webpage.

We will always provide raw text for you to work with. There is no need for in-depth research. We researched the topics in the past 5 months. Also, we know the services because many of them are already in daily use.

The content is not meant to sell a service as e-commerce. There is no fixed fee attached to each service. All services are custom-made for each client start...","Article Writing
Content Writing
Copywriting
Editing
Proofreading",6 bids,VERIFIED,6 days left
35,"$546
                                (Avg Bid)","Hi,

I need a 3D model of a male and female orc for my game.
I attached some concept ideas to better tell what I want.
Basically I want a orc with some fur armor for the cold. I want something realistic and not so extravagant as you normally find for orcs.

Is super necessary that the 3D models are fully rigged and ready to be animated, with no bugs in the mesh when moving the character limbs.

I also need the face to be rigged, so I can add facial expressions and talking animations.

For the male orc, I would like a standard axe and a bow.
For the female orc, I want only a bow and a dagger.

I want the texture to be like the one from the 3D model pack bellow:","3D Animation
3D Modelling
3D Rendering
Animation
Unity 3D",11 bids,VERIFIED,6 days left
36,"$32 / hr
                                (Avg Bid)","I am looking for a risk assessment to be created for my lab equipment and machinery, specifically, electrical equipment. I need a risk assessment to be able to identify existing hazards and to create a specific format for it. The risk assessment must include all current and potential hazards present in the lab equipment and machinery. The risk assessment must also be tailored to address the specific needs and safety profiles of individual staff members. The risk assessment must be done in a step-by-step format that outlines what steps are to be taken to reduce, control, or eliminate a risk. Finally, the risk assessment must include a list of prioritized solutions and information on how to prevent similar incidents in the future. I am looking for a freelancer who is incredibly knowledgeable...","Administrative Support
Customer Service
Customer Support
Data Collection
Data Delivery
Data Entry
Data Extraction
Data Management
Data Processing
Database Management
Excel
General Office
Health
Health Care Management
Local Job
Medical
Medical Billing and Coding
Medical Research
Medical Writing
Microsoft
Microsoft 365
Report Writing
Risk Assessment
Risk Management",31 bids,VERIFIED,5 days left
37,"$89
                                (Avg Bid)","Hello! I am looking for a talented and experienced web developer to help build a custom e-commerce website for my business. I already have domain name and hosting in place. This website will need beautiful graphics and engaging content to help market my products. If you have previously created e-commerce websites, I’d love to hear from you. Some of the things required are:
1. Planning & creation of content for the website. Planning the website pages
2. Searching royalty free images over internet
3. Creation of website on wordpress with all google adwords covered, SEO content etc.
4. Delivering working website with all plugins, bookings etc pages created
5. This will be a very basic website just to land visitors from social media pages and complete their bookings. With time, it wi...","Graphic Design
HTML
PHP
Website Design
WordPress",5 bids,VERIFIED,6 days left
38,"$37
                                (Avg Bid)","Paraphrasing and Editing Services for Essays with a 48-Hour Turnaround Time

- I am looking for a freelancer who can effectively paraphrase and edit my essays.
- The content that needs to be paraphrased is specifically essays.
- The existing content requires some summarizations ( filling out two tables).
- I need the project to be completed within 48 hours.
- The ideal freelancer should have previous experience in paraphrasing and editing essays.
- Strong attention to detail and excellent English language skills are required for this project.
- Provide Turnitin check report","Article Rewriting
Article Writing
Editing
Proofreading
Research Writing",26 bids,VERIFIED,6 days left
39,"$109
                                (Avg Bid)","I am looking for a partner to assist our company with whatsapp, email, message, digital, and social media marketing. 

Marketing Channels: 
- Utilize whatsapp, email, and messaging platforms for marketing campaigns 

Target Audience: 
- We have a specific target audience in mind 




Overall Goal: 
- Generate more leads 
- Increase brand awareness 
- Improve customer engagement 

Ideal Skills and Experience: 
- Experience in whatsapp, email, and messaging marketing 
- Knowledge of digital and social media marketing strategies 
- Ability to effectively target and engage specific audiences 
- Proven track record of generating leads and increasing brand awareness","Advertising
Facebook Marketing
Internet Marketing
Marketing
Social Media Marketing",2 bids,VERIFIED,6 days left
40,"$20 / hr
                                (Avg Bid)","Project Title: YouTubeFob

Overview:
I am looking for a skilled video editor to assist me with content creation for my YouTube channel. The project involves video editing and sound design for videos with an estimated length of 5-10 minutes.

Requirements:
1. Video Editing:
   - Proficiency in video editing software (e.g., Adobe Premiere Pro, Final Cut Pro).
   - Ability to cut, trim, and arrange video footage to create engaging and professional-looking content.
   - Experience in adding transitions, effects, and text overlays to enhance the visual appeal of the videos.
   - Familiarity with color correction and audio syncing techniques.

2. Sound Design:
   - Expertise in audio editing software (e.g., Adobe Audition, Logic Pro).
   - Capability to enhance audio quality, remove background n...","Audio Production
Audio Services
Video Editing
Video Production
Video Services",1 bids,VERIFIED,6 days left
41,"$97
                                (Avg Bid)",I am looking for someone to move my Wordpress website to another platform like joomla or drupal.,"Drupal
HTML
Joomla
PHP
WordPress",12 bids,VERIFIED,6 days left
42,"$141
                                (Avg Bid)","I am looking for a French lawyer/tax specialist who can provide me with legal advice in the field of business law. 

Dans le cas d'une cession/acquisition, j'ai besoin de réponses pour les questions contenues dans le fichier joint.","Legal
Legal Research",9 bids,VERIFIED,6 days left
43,"$153
                                (Avg Bid)","I am looking for an artist to help me create a small horror game for mobile and PC, called Window. I am seeking a super-realistic art style, and would like 3D assets as well. I am willing to pay up to $200 for the project.","Android
iPhone
jQuery / Prototype
Mobile App Development",9 bids,VERIFIED,6 days left
44,"$10
                                (Avg Bid)","we neeed an experienced person to help do a pitch for our start up.

We have a low budget but we will also pay a bonus upon results.

No need to apply otherwise","Finance
Financial Analysis
Financial Markets
Investment Banking
Marketing",3 bids,VERIFIED,6 days left
45,"$18
                                (Avg Bid)","I am looking for a skilled and experienced video editor to partner with me in managing and enhancing my YouTube channel for my existing business. The ideal candidate should have expertise in advanced editing techniques and be able to create engaging videos that are longer than 10 minutes in length. This project requires a professional who can deliver high-quality videos with advanced editing skills. The selected candidate will be responsible for editing the videos to make them visually appealing and engaging, ensuring a seamless flow and incorporating advanced editing techniques. The videos will be used for promoting my existing business on YouTube, so attention to detail and creativity are essential. The ideal candidate should have a strong portfolio demonstrating their expertise in advan...","Video Editing
Video Production
Video Services
Videography
YouTube",2 bids,VERIFIED,6 days left
46,"$27
                                (Avg Bid)","Project Title: Etsy Promotion Specialist

I am in need of a skilled individual who can effectively promote my products on Etsy, eBay, and other social media platforms. As a seller, my main goal is to increase sales and generate leads through this promotion.

Specific Platforms:
- Etsy: This is the primary focus for promotion and where I would like to see the most growth and visibility.

Content:
- Unfortunately, I do not have any content prepared for this promotion. Therefore, I am seeking someone who can create compelling and engaging content that will resonate with my target audience.

Goals:
- The main objective of this promotion is to increase sales. I am looking for someone who can develop strategies and execute campaigns that will drive traffic and conversions.

Ideal Skills and Expe...","Facebook Marketing
Internet Marketing
Marketing
Social Media Marketing
Twitter",23 bids,VERIFIED,6 days left
47,"$4 / hr
                                (Avg Bid)","Experienced ASP.NET Developer needed to fix payment gateway error and ensure successful payment transactions on a client's website. 

Specific Requirements:
- Resolve error message displayed during payment process
- Troubleshoot and fix issues related to the phonepe payment gateway integration
- Ensure seamless processing of payment transactions

Ideal Skills and Experience:
- Strong proficiency in ASP.NET and C#
- Expertise in payment gateway integration, particularly with phonepe
- Ability to troubleshoot and debug errors effectively
- Familiarity with web development best practices and security protocols

Timeline:
- Project needs to be completed ASAP. Timely delivery is crucial.

Note: Please provide examples of previous work related to payment gateway integration, as well as any ...","ASP
ASP.NET
HTML
PHP
Website Design",10 bids,VERIFIED,6 days left
48,"$54
                                (Avg Bid)","I am looking for an experienced sales executive to join our healthcare organization. We are a growing and dynamic team in need of an effective and enthusiastic sales representative to foster long-term relationships and drive sales growth. This role requires an individual with strong networking and sales skills, excellent time management abilities, and leadership qualities. The successful candidate must have at least 1-3 years of relevant sales experience. If this sounds like you, please apply!","Product Marketing
Sales",4 bids,VERIFIED,6 days left
49,$152 - $455,"I am looking for a WiFi Network Integration Specialist to help me with integrating a small business network. The ideal candidate should have experience in integrating access points into a custom configuration.

Skills and Experience required:
- Strong knowledge and experience in integrating access points into a small business network
- Familiarity with custom configurations for WiFi networks
- Ability to troubleshoot and resolve any issues related to network integration
- Knowledge of different access point models and their compatibility with small business networks
- Should have retail clients 

Responsibilities:
- Assessing the current network infrastructure and identifying the areas that need improvement
- Integrating access points into the network to ensure seamless connectivity
- Conf...","Cisco
Computer Security
Network Administration
System Admin
Wireless",0 bids,VERIFIED,6 days left
50,$30 - $250,I am a Chinese business looking for a payment processing specialist to accept international credit cards,"Payment Gateway Integration
WordPress",0 bids,VERIFIED,6 days left
51,$750 - $1500,"Youtube and Facebook video advertisement to fundraise for the purchase of land to expand a masjid in Stockton, CA. The masjid is a non-profit organization with an opportunity to purchase 4 acres of land directly behind the masjid. The land will be used to expand the community center by adding prayer halls, multi-purpose rooms, classrooms, kitchen and expand the current parking lot.","Audio Production
Video Production",0 bids,VERIFIED,6 days left
52,"$18 / hr
                                (Avg Bid)","Hi! I’m looking for clients. I’m offering services like product listings on channels including Lazada, Shopee, Zalora and Shopify. I also do campaign promotions, vouchers and discounts. If you need my help, drop me a message! Thank you!","Data Entry
eCommerce
Shopify
Shopify Templates
Website Design",15 bids,VERIFIED,6 days left
53,"$75
                                (Avg Bid)","I am looking for a skilled AR developer who can create Augmented Reality filters for social media platforms. The project requires the development of AR filters that can be used on both Android and iOS devices. The main focus of the project is to create 3D models that can be integrated into the AR filters. 

Ideal Skills and Experience:
- Experience in developing AR filters for social media platforms
- Proficiency in AR app development for both Android and iOS
- Strong knowledge of 3D modeling and integration into AR environments 
- Familiarity with image and text recognition technologies","Android
C# Programming
iPhone
Mobile App Development
Unity 3D",4 bids,VERIFIED,6 days left
54,"$85
                                (Avg Bid)","Data Scraping and Lead Generation

I am looking for a freelancer who can scrape specific websites or sources to gather business details on a daily basis. 

Requirements:
- Experience in web scraping and lead generation
- Proficiency in programming languages such as Python, Java, or Ruby
- Familiarity with data extraction tools and techniques
- Ability to extract business details such as company name, address, contact information, and industry
- Attention to detail and accuracy in data collection
- Effective time management to ensure daily scraping is performed efficiently

If you have the skills and experience necessary for this project, please submit your proposal.","Data Mining
Lead Generation
Python
Web Scraping
Web Search",1 bids,VERIFIED,6 days left
55,"$161
                                (Avg Bid)","Experienced UX/UI designer with a strong background in Figma and current design trends wanted to work for a boutique digital agency on different websites/web apps.

KEY RESPONSIBILITIES:

- Design approximately 15 desktop screens or 20 mobile screens monthly
- Convert sketches or wireframes into finished mockups
- Create visually stunning and intuitive interfaces that enhance user experience
- Collaborate with the team to brainstorm ideas then turn concepts into user-friendly interfaces
- Redesign desktop screens for mobile responsiveness
- Proactively provide creative solutions and improvements to existing designs and user flows
- Please include the key word 'Lavender' in your bid to indicate you actually read the brief

CANDIDATE REQUIREMENTS:

The candidate should...

- Be cre...","App Design
Figma
UI / User Interface
UX / User Experience
Website Design",7 bids,VERIFIED,6 days left
56,"$1587
                                (Avg Bid)","I am looking to build a geolocation app that will be developed to run on both iOS and Android mobile devices. It will provide outdoor navigation so that users can easily find their way to where they need to go. 

I have specific features and functionalities in mind for this app, so I'm looking for a talented developer who can bring this project to life. The ideal candidate will be creative and have experience with developing geolocation apps. The app should have a clean, intuitive interface, and should be developed to be easy to use. In addition, the app should provide accurate and up-to-date information about location and directions. 

If you have the skills required to successfully create this geolocation app, then please get in touch!","Android
iPad
iPhone
Mobile App Development
Objective C",15 bids,VERIFIED,6 days left
57,"$87
                                (Avg Bid)",I need help creating a compelling bio for my psycho therapy website and psychology  today ad. To attract new psychotherapy clients,"Advertising
Biography Writing
Copywriting
LinkedIn Profile
Online Writing",13 bids,VERIFIED,6 days left
